ID;Name_Validity;Division;Class;Sublass;Order;Family;Rank;Name;Author;Czech_name;presence;RL_Evaluation
420;V;10070;10087;10124;10145;10168;34;Brachythecium erythrorrhizon;Schimp.;baòatka ohnutá;N;NE
421;V;10070;10087;10124;10145;10168;34;Brachythecium geheebii;Milde;baòatka Geheebova;Y;EN
422;V;10070;10087;10124;10145;10168;34;Brachythecium glareosum;(Bruch ex Spruce) Schimp.;baòatka štìrková;Y;LC
423;V;10070;10087;10124;10145;10168;34;Brachythecium laetum;(Brid.) Schimp.;baòatka lesklá;Y;EN
424;V;10070;10087;10124;10145;10168;34;Brachythecium mildeanum;(Schimp.) Schimp.;baòatka Mildeova;Y;LC-att
425;V;10070;10087;10124;10145;10168;34;Brachythecium rivulare;Schimp.;baòatka potoèní;Y;LC
426;V;10070;10087;10124;10145;10168;34;Brachythecium rutabulum;(Hedw.) Schimp.;baòatka obecná;Y;LC
427;V;10070;10087;10124;10145;10168;34;Brachythecium salebrosum;(Hoffm. ex F.Weber & D.Mohr) Schimp.;baòatka draslavá;Y;LC
428;V;10070;10087;10124;10145;10168;34;Brachythecium tenuicaule;(Spruce) Kindb.;baòatka tenkolodyná;Y;CR
429;V;10070;10087;10124;10145;10168;34;Brachythecium tommasinii;(Sendtn. ex Boulay) Ignatov & Huttunen;baòatka Tommasiniho;Y;LC
430;V;10070;10087;10124;10125;10126;28;Braunia;Bruch & Schimp.;(bez èeského jména);N;
431;V;10070;10087;10124;10125;10126;34;Braunia imberbis;(Sm.) N.Dalton & D.G.Long;(bez èeského jména);N;NE
432;V;10070;10087;10124;10145;10172;28;Breidleria;Loeske;jílovka;Y;
